Alt, Bar, Fri, Hun, Pat, Price, Rain, Res, Type, Est
Yes, No, No, Yes, Some, $$$, No, Yes, French, 0-10, true
Yes, No, No, Yes, Full, $, No, No, Thai, 30-60, false
No, Yes, No, No, Some, $, No, No, Burger, 0-10, true
Yes, No, Yes, Yes, Full, $, Yes, No, Thai, 10-30, true
Yes, No, Yes, No, Full, $$$, No, Yes, French, >60, false
No, Yes, No, Yes, Some, $$, Yes, Yes, Italian, 0-10, true
No, Yes, No, No, None, $, Yes, No, Burger, 0-10, false
No, No, No, Yes, Some, $$, Yes, Yes, Thai, 0-10, true
No, Yes, Yes, No, Full, $, Yes, No, Burger, >60, false
Yes, Yes, Yes, Yes, Full, $$$, No, Yes, Italian, 10-30, false
No, No, No, No, None, $, No, No, Thai, 0-10, false
Yes, Yes, Yes, Yes, Full, $, No, No, Burger, 30-60, true
